Wallet,Fate_Rewards
0x01827a0283b2133d17e280fbdad0bada36255b95,363557.517701896232461903
0x01dc7dd1f008008e928a51f221bbdb3825f9491b,226953.406240135554770682
0x02fa5eb5067c0d4a74e83f395af7ab6db7999208,211098.168710936102925055
0x04b70e9ef8b53b13455f42186c428e9fb0853ba1,274780.183496359119494087
0x052fbc4e44764f6af0b4088b21b51b21dee62b87,1648.465304168719134596
0x058476edacb23e9507cff379e7dd8cf4dee4d2db,20203.376476949356778782
0x0655d9a7c0b6e83dab59b04409971781dfe6b691,74232.025072816734634662
0x09413652adca795c37c906fe4fd090d4a8dddbe6,54768.034181063466031252
0x0a127c3976b5dfbe8fbbb24c236318fd248486cb,768850.998205233900601466
0x0b3804716a80539306cf5f9b4d1442f8f8b8ab92,5460.766401364041603969
0x0c2f25ef33baf2a7fe896cff0fec6f8256ee65c7,11442.455359606733925304
0x0d05d736db2b9923cdf3fe967ea8b4e17da94c5e,173.345926758978084205
0x0dccb9984b8531049706ce5a6d837df3ad35ff4a,82723.964443179418200362
0x10ac1802f11616f141bf1459a9564c0307acedf2,2.817704316276303103
0x146217e07978475d9863f014c6e2d537e06dfa9d,1184.955635583071843114
0x15f34324ff4ec68ae359d03c4d43d52dbd0dbb31,1063739.668676367053647013
0x1849fc71313329c173c7547871e69faed0077fca,37139.660228670727777888
0x1ce5379698a1bcb5df225126f3599330db5255f9,346.323038765389710164
0x21ef9e80e000122d120357eb430190e541ef60d4,19959.82643229229615332
0x22668bc75dec80ce8ca07d1dd58eb796a3a5f72d,9665.687688391934913331
0x26183c45a99bdbaa102cc55e359a72d5b17c9dcd,294436.901016259846312778
0x29fed47572890b4561cc02ae3949e4f673a6f160,18557.531351756367036687
0x2d63b60b2512dff3e3681539cc56eb99e5c96d43,424.685078286110098387
0x30194f526c6b08f8e33af1753b04322b0450c6c0,1040.060364818140734568
0x3336ded7a8d07e2622e27ca2364c427af4ff3911,73.652164552825451128
0x3353554095389a03c35915e51fdcdddd68caf28c,44.394432364148253088
0x37acc7eca484b68db007e08be9029e9a4792e90a,1260.55228344690277359
0x3ba1140ad8269d25ad7777820abc84be2e4e8dd4,94.486013244510172477
0x3ec4938ab96f8cc28ea32e645ac82f86e77d265d,12224.749602079977834877
0x4525441f608e57f351efa148525031e14dde27d6,1411.275896593853010164
0x4865ce35c0e0a3ba725be849deba86ec02cd3cca,5388.117571707148585258
0x49846f40c9d6dc8062fbd0919e52c975e815156d,54994.396078228089460788
0x49bb9fd16af3b39ae3c08d75fd690bdae7e4f5ef,1112302.910312602129176291
0x4d4672eb04b176c22574b65a83278b8dc6708ed7,89615.252970879699387952
0x585869bdd43497df24a8cec2e1d4e115869fe2a3,137849.652208086778415113
0x5896bed3959d4508fee5cdaed6da41e8016d1ebe,10.567789618138342113
0x59734040d997a97cf329f28d7f289286ab444b27,162378.397863476803382104
0x5da9ba5435f2f3bd8d25abce434caa370cfff2c0,1695.742696550689214522
0x5db0c41cac8a92ccdae933e7dc7b6266415fa17c,21511.113387538105651144
0x5edd60b9c610050c66bac1a2d0572bddf61d7198,6083.565611740150796797
0x60f7244c704184ed3743dffc694c0d922bcc2093,590.749698445947904284
