Wallet,Fate_Rewards
0x0027be93454f18e04e26ee19c22b9dad5b2f58e5,616308.639944410974060229
0x0089d65b21ee0d8915da224b2c17132502184b97,92.932312916904809992
0x01827a0283b2133d17e280fbdad0bada36255b95,580733.399521016897447543
0x01dc7dd1f008008e928a51f221bbdb3825f9491b,2718459.620408677188488398
0x02fa5eb5067c0d4a74e83f395af7ab6db7999208,11929624.086164921058029476
0x04b70e9ef8b53b13455f42186c428e9fb0853ba1,4469032.281228353573604848
0x052fbc4e44764f6af0b4088b21b51b21dee62b87,115207.018363920234964257
0x0580cb524a9a56307326049014c577e3bc84c541,32696.466092942028169995
0x058476edacb23e9507cff379e7dd8cf4dee4d2db,6173933.336055992354601213
0x05eee03f9a3fa10aac2921451421a9f4e37eabbc,3564346.911596624711940032
0x0655d9a7c0b6e83dab59b04409971781dfe6b691,288347.599953502157450085
0x09413652adca795c37c906fe4fd090d4a8dddbe6,67914.686904490540345413
0x0a127c3976b5dfbe8fbbb24c236318fd248486cb,28779473.566085743501653915
0x0b3804716a80539306cf5f9b4d1442f8f8b8ab92,16482.793598307507877568
0x0c2f25ef33baf2a7fe896cff0fec6f8256ee65c7,81396.305861265187516802
0x0c4fcee37b1cbcca6b794ae3322735d6f41b74ad,8842.860241391525070414
0x0ce3b2b720b19702e51947eeaee24250da1a180d,78.494228708605988688
0x0d05d736db2b9923cdf3fe967ea8b4e17da94c5e,12970.893735764506924416
0x0d7a90bc336ca443a89391503f327d5b78b5485d,3401275.188128964991802128
0x0dccb9984b8531049706ce5a6d837df3ad35ff4a,181897.231170111988536996
0x10ac1802f11616f141bf1459a9564c0307acedf2,6050.235338570330455237
0x12794558699d8b489e2a81769234683056f3790c,4038740.562214601426456378
0x146217e07978475d9863f014c6e2d537e06dfa9d,13243.903270469413633564
0x153f34e43ea3e86f412eb5232a6d65d5f1b4b905,14.277562050935141375
0x15f34324ff4ec68ae359d03c4d43d52dbd0dbb31,1905389.62075293918714802
0x169162cf7f4332f7f4fcf4411269f80a82b7f55b,10263.935704266961842787
0x16c5d7862f5e42b578c5b86bdf1f3887fdc0f412,0.0
0x1849fc71313329c173c7547871e69faed0077fca,67147.972092316634339176
0x1ce5379698a1bcb5df225126f3599330db5255f9,48424.000148158056718667
0x1e7e5bdcef55ec658f2a29a9bcbc69cabaf1606a,189976.734379424124197047
0x21ef9e80e000122d120357eb430190e541ef60d4,31082.643589637043252543
0x22668bc75dec80ce8ca07d1dd58eb796a3a5f72d,613612.524649748362470221
0x2402d9a9435df4d27eb6e8b226e5fcf8765d3e2a,395.857030947202522692
0x25d53e1fe43e686cc669fb4e992891e63588434c,159415.638027439048490882
0x26183c45a99bdbaa102cc55e359a72d5b17c9dcd,2482158.9339436469548973
0x27bd3c8945eadcae11c662aa939bd72fa757c958,91105.613692871775234334
0x27fae2cf9ed3754182923460988abc89a65a7bde,993067.819891800245885059
0x29bab6487c428b7168cc68a8607cb709f25ee5fc,11863618.397401717882373324
0x29fed47572890b4561cc02ae3949e4f673a6f160,160817.700999805061360888
0x2bee316f0c5fd28c81a269e55e54f0fa5457b9ee,5482.429225172468291879
0x2d63b60b2512dff3e3681539cc56eb99e5c96d43,10716.160116392911446051
0x30194f526c6b08f8e33af1753b04322b0450c6c0,7060.411402290986571714
0x31881a03519c0fc57f4ba6766ca2bffe1f584ee3,15727134.321180313193417207
0x3336ded7a8d07e2622e27ca2364c427af4ff3911,154398.273787461705703096
0x3353554095389a03c35915e51fdcdddd68caf28c,4350.963704090892474238
0x33ebe25f22e93b4f0bf8d92f495fa45f41e210a4,356759.243456357901964379
0x3562e5fde573f795e7e1d34c8092b95926f093e8,103919.090911733194348808
0x37acc7eca484b68db007e08be9029e9a4792e90a,6865.350096287064028782
0x38b60a9b1e2d96befb2d8400d187276fe1ade9b4,1586.424489776086974869
0x3ba1140ad8269d25ad7777820abc84be2e4e8dd4,22970.839828004325380554
0x3d99da67d664882d77f65f206ba6799256110eaa,608.779326529589029017
0x3ec4938ab96f8cc28ea32e645ac82f86e77d265d,1675334.88070448359913248
0x3fa28980fc0b62cda392863ddf916d1c342a40ae,193999.602982769211485743
0x410e0762850d1653d8fe739b49e318d00666b1a2,4156.4603447721888
0x4525441f608e57f351efa148525031e14dde27d6,10600.313937894929047439
0x4865ce35c0e0a3ba725be849deba86ec02cd3cca,11404.841645152229853899
0x49846f40c9d6dc8062fbd0919e52c975e815156d,244454.993275385191268339
0x49bb9fd16af3b39ae3c08d75fd690bdae7e4f5ef,2827036.212831800174380555
0x4d4672eb04b176c22574b65a83278b8dc6708ed7,159928.277514994801114456
0x4e8bf2757ad44227fa01b0ee9d11df864b171f57,41932.985501263161821535
