Wallet,Fate_Rewards
0x0027be93454f18e04e26ee19c22b9dad5b2f58e5,438294.08067407099570795
0x0089d65b21ee0d8915da224b2c17132502184b97,83.365751293153579992
0x01827a0283b2133d17e280fbdad0bada36255b95,523681.145636862732447543
0x01dc7dd1f008008e928a51f221bbdb3825f9491b,1865799.042947714315131969
0x02fa5eb5067c0d4a74e83f395af7ab6db7999208,4932251.907212141554461033
0x04b70e9ef8b53b13455f42186c428e9fb0853ba1,2255960.897807601530324494
0x052fbc4e44764f6af0b4088b21b51b21dee62b87,53037.0511019971345708
0x0580cb524a9a56307326049014c577e3bc84c541,29330.653406901825169995
0x058476edacb23e9507cff379e7dd8cf4dee4d2db,2959439.765648665704114219
0x05eee03f9a3fa10aac2921451421a9f4e37eabbc,3398886.453719071793640032
0x0655d9a7c0b6e83dab59b04409971781dfe6b691,270371.825920477594450085
0x09413652adca795c37c906fe4fd090d4a8dddbe6,60486.518024324940345413
0x0a127c3976b5dfbe8fbbb24c236318fd248486cb,17869031.916565100187567054
0x0b3804716a80539306cf5f9b4d1442f8f8b8ab92,15604.652439135278477571
0x0c2f25ef33baf2a7fe896cff0fec6f8256ee65c7,68842.906703640326368049
0x0c4fcee37b1cbcca6b794ae3322735d6f41b74ad,6536.353607032302023128
0x0ce3b2b720b19702e51947eeaee24250da1a180d,76.004960557972125488
0x0d05d736db2b9923cdf3fe967ea8b4e17da94c5e,6216.462842920209516211
0x0d7a90bc336ca443a89391503f327d5b78b5485d,1845697.503461287543683665
0x0dccb9984b8531049706ce5a6d837df3ad35ff4a,166701.255830828872536996
0x10ac1802f11616f141bf1459a9564c0307acedf2,5517.380789933128685237
0x12794558699d8b489e2a81769234683056f3790c,40190155.723585987857208281
0x146217e07978475d9863f014c6e2d537e06dfa9d,7684.227411106565629684
0x153f34e43ea3e86f412eb5232a6d65d5f1b4b905,12.899452044818094375
0x15f34324ff4ec68ae359d03c4d43d52dbd0dbb31,1725205.41318248036814802
0x169162cf7f4332f7f4fcf4411269f80a82b7f55b,9875.364220945556542787
0x16c5d7862f5e42b578c5b86bdf1f3887fdc0f412,124.703923413437383397
0x1849fc71313329c173c7547871e69faed0077fca,61629.180614985302139176
0x1ce5379698a1bcb5df225126f3599330db5255f9,21571.856533213310105307
0x1e7e5bdcef55ec658f2a29a9bcbc69cabaf1606a,189130.729967384281197047
