Wallet,Fate_Rewards
0x0027be93454f18e04e26ee19c22b9dad5b2f58e5,120578.748659761205984709
0x01827a0283b2133d17e280fbdad0bada36255b95,415410.656300237134975416
0x01dc7dd1f008008e928a51f221bbdb3825f9491b,341658.136445870408858062
0x02fa5eb5067c0d4a74e83f395af7ab6db7999208,552274.488574502940572703
0x04b70e9ef8b53b13455f42186c428e9fb0853ba1,426506.90032884542537795
0x052fbc4e44764f6af0b4088b21b51b21dee62b87,2962.745225607220704801
0x0580cb524a9a56307326049014c577e3bc84c541,20032.299471076608553037
0x058476edacb23e9507cff379e7dd8cf4dee4d2db,235424.844631915231784099
0x05eee03f9a3fa10aac2921451421a9f4e37eabbc,1879985.38823087808673729
0x0655d9a7c0b6e83dab59b04409971781dfe6b691,96803.008697553732865801
0x09413652adca795c37c906fe4fd090d4a8dddbe6,55180.683109801740345413
0x0a127c3976b5dfbe8fbbb24c236318fd248486cb,1375461.328438083543883062
0x0b3804716a80539306cf5f9b4d1442f8f8b8ab92,5460.766401364041603969
0x0c2f25ef33baf2a7fe896cff0fec6f8256ee65c7,15623.989718609533138497
0x0c4fcee37b1cbcca6b794ae3322735d6f41b74ad,2458.577416528822122705
0x0ce3b2b720b19702e51947eeaee24250da1a180d,0.949694665336383813
0x0d05d736db2b9923cdf3fe967ea8b4e17da94c5e,425.14179779076830963
0x0d7a90bc336ca443a89391503f327d5b78b5485d,122454.394847083867553424
0x0dccb9984b8531049706ce5a6d837df3ad35ff4a,101948.697308878340041052
0x10ac1802f11616f141bf1459a9564c0307acedf2,3679.547042060135575053
0x12794558699d8b489e2a81769234683056f3790c,417729.679447619031221272
0x146217e07978475d9863f014c6e2d537e06dfa9d,1657.043612067037602228
0x15f34324ff4ec68ae359d03c4d43d52dbd0dbb31,1234699.314928304554923833
0x169162cf7f4332f7f4fcf4411269f80a82b7f55b,816.343612011539340203
0x1849fc71313329c173c7547871e69faed0077fca,37139.660228670727777888
0x1ce5379698a1bcb5df225126f3599330db5255f9,683.704097495329890067
0x21ef9e80e000122d120357eb430190e541ef60d4,19959.82643229229615332
0x22668bc75dec80ce8ca07d1dd58eb796a3a5f72d,25867.8857528066131418
0x25d53e1fe43e686cc669fb4e992891e63588434c,72419.739359543596593375
0x26183c45a99bdbaa102cc55e359a72d5b17c9dcd,401901.895097444997286744
0x27bd3c8945eadcae11c662aa939bd72fa757c958,28044.47642057093690336
0x29bab6487c428b7168cc68a8607cb709f25ee5fc,27064.946363953327159683
0x29fed47572890b4561cc02ae3949e4f673a6f160,25739.41871209764707809
0x2bee316f0c5fd28c81a269e55e54f0fa5457b9ee,2946.758990073826500868
0x2d63b60b2512dff3e3681539cc56eb99e5c96d43,424.685078286110098387
0x30194f526c6b08f8e33af1753b04322b0450c6c0,4060.238594755253971404
0x31881a03519c0fc57f4ba6766ca2bffe1f584ee3,8493951.776874221085450721
0x3336ded7a8d07e2622e27ca2364c427af4ff3911,73.652164552825451128
0x3353554095389a03c35915e51fdcdddd68caf28c,1674.830427293819810732
0x33ebe25f22e93b4f0bf8d92f495fa45f41e210a4,186038.402396890798712383
0x3562e5fde573f795e7e1d34c8092b95926f093e8,27689.717592717185815141
0x37acc7eca484b68db007e08be9029e9a4792e90a,1260.55228344690277359
0x3ba1140ad8269d25ad7777820abc84be2e4e8dd4,751.997641218963425162
0x3ec4938ab96f8cc28ea32e645ac82f86e77d265d,74707.200721244897962045
0x3fa28980fc0b62cda392863ddf916d1c342a40ae,125437.831497450618207388
0x410e0762850d1653d8fe739b49e318d00666b1a2,1173.6025727496
0x4525441f608e57f351efa148525031e14dde27d6,6468.899879769623722648
0x4865ce35c0e0a3ba725be849deba86ec02cd3cca,8721.323595966263215191
0x49846f40c9d6dc8062fbd0919e52c975e815156d,82667.568218313351597019
0x49bb9fd16af3b39ae3c08d75fd690bdae7e4f5ef,1564935.960614650157302492
0x4d4672eb04b176c22574b65a83278b8dc6708ed7,100463.01134825091691963
0x4e8bf2757ad44227fa01b0ee9d11df864b171f57,11705.467923218529767027
0x4ec1cae08c06494ee0130d4d538c1735252d4130,2030848.948400666684765475
0x54b8962b6f5028a57bc11cb68cad87aa8651c548,2168.561629512366103947
0x585869bdd43497df24a8cec2e1d4e115869fe2a3,232361.653078545744298651
0x5896bed3959d4508fee5cdaed6da41e8016d1ebe,60.734115156606530155
0x59734040d997a97cf329f28d7f289286ab444b27,286670.85593691872639548
0x5c976f29f024a506e623db5bd9c26b6a0c9f2619,82.217354605243615495
0x5da9ba5435f2f3bd8d25abce434caa370cfff2c0,2678.602069599197895871
0x5db0c41cac8a92ccdae933e7dc7b6266415fa17c,30801.13286382941868357
0x5edd60b9c610050c66bac1a2d0572bddf61d7198,6960.085604288731808288
0x60f7244c704184ed3743dffc694c0d922bcc2093,675.770572380693158939
0x636f69a3279d93c95d13093680fc02b9a2fcf774,23699.177821231437968428
0x638f3811e402f5ce2f15b19a3f5cd4fbb65d0932,4799.33621510574698461
0x64878dab06c60cbe866e959081d2da4c287e9705,93863.744411553439680801
0x64c73ba421277f362882387472e1e884d8999056,37888.738915021920153425
0x64cf2cdbf9cb4381a69d601e61d158dd8631e0fd,2477.198777693818317411
0x693bfeeff05a9e7f38476cfcce473ae436e0e851,682866.056221249452755135
0x695e12e59c9c3993c7eb8a48710421b12f364135,143756.410748318048429103
0x6a099ded0eaf0b22dde687d83cb19af0c6eea084,460685.784459924800967435
0x707acec1f566eb3bf16fb0468e6e2e9a881813a3,42886.189201957716588623
0x71a9418220bea6e96f19713975527cc27cc1375d,14770.409174964537244241
0x7719bff1fe196b803a16ffb4dc250cb0fe20a313,55900.124035768149522872
0x79d860858361577a4f2a33d83aac2299b6d77025,258766.923866246251807343
0x7a0373a8789562dd3923d3c212e249e5e88723cf,28708.76319141045248051
0x7a120d3150530a1cb538711ef04623aa8d90ff4e,2455.427948600149893505
0x7a68f7ce454d8fbc53d5dfb5d61d9a9d3bab0cdd,919.009107399340210411
0x7ab1186d0fa3b780851a92e791728f5bc0644b7f,500018.775273441212190215
0x7b8b98900d14c8fbf490a0b339ad3f15a1b75ace,1779.512694777101331494
0x7e7257ed884c00385e6caf99e25e9486ec4eaa71,304.488661345913237523
0x7f042f15b9bdd192c4ab3614f4fa0f3886adb1a9,234608.68493466647643202
0x7f6d4d449a366a86bbbc82c0dfe9d776b1115f1e,11384.265689842481265086
0x812be5ff5249e7599d889ba841abb1f280267559,89465.080864682144182069
0x8178c9e76fbc57bee7ec6042d137d3ddba08e786,12477.263907300797180871
0x8254925ce4ce17cf2bd0a666947d606184e45332,70.958611339361900908
0x833a4a119c1195b4ac1c7f1471152de8b65a3ef5,68408.813767490950157271
0x83cf51a12258848540e862d1ab8b2fe05518f716,2823990.479135276328454141
0x850f385b6938c981f1d9375ccd39a570e919c59d,8074.876776900084546525
0x85399768c72b64879e704ebafc5ac52483984b9e,910.151053044799528918
0x85d382c1915cd79e85eda89231f2bdd130c31d0d,54008.95617673316655187
0x869aa177e5d098de56fcc0fc63d606f51181dd5d,39743.227460180157235272
0x88db7c620a726bf06005f9c602a90fc0228bb02f,0.433139883936127231
0x8bb8fc2ae445630485394929aecf09386cf68389,74760.11103694575109042
0x8bc493dfdf7820facfc68c251b26bd7a888dd39e,9548.477319724985331494
0x8ebb3b44fba4a542592ffc3cf943418a7cffa48e,7414.262003145859906565
0x8fa9f506fad272213c65cb6614020e32f97be5ba,2688.295802868797875114
0x90036c2f2c4cf5958eb0a9a841aaeb734e786516,1036.867843528955071756
0x98f9e694c17aece8e4697389d3c340d6ad823ffc,1307962.380097571255900145
